*** 令和７年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝437209,平均正答率＝0.6411,,,
科目＝国語,総平均点＝126.67,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,9,2.111,4,0.5277,0.5277
1,10,1.464,4,0.366,0.366
2,合計,36.638,50,0.7328,0.7328
2,11,4.34,5,0.8681,0.8681
2,12,2.34,5,0.4681,0.4681
2,13,3.511,5,0.7021,0.7021
2,14,2.851,5,0.5702,0.5702
2,15,3.66,5,0.7319,0.7319
2,16,3.532,5,0.7064,0.7064
2,17,4.191,5,0.8383,0.8383
2,18,4.043,5,0.8085,0.8085
2,19,4.149,5,0.8298,0.8298
2,20,4.021,5,0.8043,0.8043
3,合計,41.319,50,0.8264,0.7708
3,21-22,9.213,10,0.9213,0.8766
3,23,3.957,5,0.7915,0.7915
3,24,3.574,5,0.7149,0.7149
3,25-26,8.404,10,0.8404,0.7447
3,27,2.957,5,0.5915,0.5915
3,28,4.426,5,0.8851,0.8851
3,29-30,8.787,10,0.8787,0.7915
4,合計,46.353,60,0.7726,0.7645
4,31,3.609,4,0.9021,0.9021
4,32,3.455,4,0.8638,0.8638
4,33,3.115,4,0.7787,0.7787
4,34,4.128,5,0.8255,0.8255
4,35,3.128,5,0.6255,0.6255
4,36,3.723,5,0.7447,0.7447
4,37,3.489,5,0.6979,0.6979
4,38,4.362,5,0.8723,0.8723
4,39,3.532,5,0.7064,0.7064
4,40,3.596,5,0.7191,0.7191
4,41,3.851,5,0.7702,0.7702
4,42-43,6.366,8,0.7957,0.6681
問題区分＝本試験,人数＝451864,平均正答率＝0.6064,,,
科目＝英語（リスニング）,総平均点＝61.31,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,17.333,28,0.619,0.6173
1,1,2.749,4,0.6873,0.6873
1,2,2.707,4,0.6768,0.6768
1,3,3.068,4,0.767,0.767
1,4,1.544,4,0.3861,0.3861
1,5,2.194,3,0.7313,0.7313
1,6,1.816,3,0.6053,0.6053
1,7,1.371,3,0.4569,0.4569
1,8,1.884,3,0.6279,0.6279
2,合計,10.199,12,0.8499,0.8499
2,9,3.162,4,0.7906,0.7906
2,10,3.78,4,0.945,0.945
2,11,3.257,4,0.8142,0.8142
3,合計,10.256,18,0.5698,0.5698
3,12,2.14,3,0.7132,0.7132
3,13,1.919,3,0.6396,0.6396
3,14,1.199,3,0.3996,0.3996
3,15,1.138,3,0.3794,0.3794
3,16,2.328,3,0.7761,0.7761
3,17,1.532,3,0.5106,0.5106
4,合計,7.799,12,0.6499,0.6813
4,18-21,1.601,4,0.4002,0.4002
4,22,0.618,1,0.6183,0.6183
4,23,0.814,1,0.814,0.814
4,24,0.709,1,0.7094,0.7094
4,25,0.709,1,0.7089,0.7089
4,26,3.348,4,0.8369,0.8369
5,合計,6.748,16,0.4217,0.3692
5,27,1.907,3,0.6358,0.6358
5,28-29,0.2,2,0.1,0.1
5,30-31,0.287,2,0.1434,0.1434
5,32,1.917,4,0.4793,0.4793
5,33,2.436,5,0.4872,0.4872
6,合計,8.979,14,0.6414,0.6412
6,34,2.165,3,0.7216,0.7216
6,35,1.675,3,0.5584,0.5584
6,36,2.043,4,0.5108,0.5108
6,37,3.096,4,0.7741,0.7741
問題区分＝本試験,人数＝279718,平均正答率＝0.6960,,,
科目＝情報Ⅰ,総平均点＝69.26,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,13.088,20,0.6544,0.6485
1,ｱ,1.076,2,0.538,0.538
1,ｲ,0.837,2,0.4184,0.4184
1,ｳ-ｵ,2.048,3,0.6827,0.6827
1,ｶ,1.438,3,0.4793,0.4793
1,ｷ,1.489,2,0.7445,0.7445
1,ｸ,1.8,3,0.5999,0.5999
1,ｹ,1.55,2,0.775,0.775
1,ｺ-ｻ,2.851,3,0.9502,0.9502
2,合計,22.832,30,0.7611,0.7685
2,ｱ,1.93,2,0.9649,0.9649
2,ｲ-ｳ,1.915,2,0.9574,0.9574
2,ｴ,1.961,2,0.9806,0.9806
2,ｵ-ｶ,1.655,3,0.5516,0.5516
2,ｷ,1.491,2,0.7457,0.7457
2,ｸ,1.312,2,0.6561,0.6561
2,ｹ,1.06,2,0.5298,0.5298
2,ｺ,2.801,3,0.9337,0.9337
2,ｻ-ｼ,2.481,3,0.8269,0.8269
2,ｽ-ｾ,1.688,3,0.5625,0.5625
2,ｿ,2.233,3,0.7445,0.7445
2,ﾀ,2.306,3,0.7686,0.7686
3,合計,16.182,25,0.6473,0.6944
3,ｱ,0.972,1,0.9717,0.9717
3,ｲ,0.954,1,0.9542,0.9542
3,ｳ,1.858,2,0.9288,0.9288
3,ｴ,1.814,2,0.9069,0.9069
3,ｵ,1.757,2,0.8787,0.8787
3,ｶ,1.887,2,0.9433,0.9433
3,ｷ,1.839,3,0.613,0.613
3,ｸ,0.438,2,0.2191,0.2191
3,ｹ,1.04,2,0.5202,0.5202
3,ｺ,1.134,2,0.5669,0.5669
3,ｻ,1.316,3,0.4387,0.4387
3,ｼ,1.173,3,0.3909,0.3909
4,合計,17.161,25,0.6864,0.6437
4,ｱ-ｲ,0.864,3,0.2879,0.2879
4,ｳ-ｴ,3.602,4,0.9006,0.8233
4,ｵ-ｶ,3.163,4,0.7908,0.617
4,ｷ,0.441,2,0.2204,0.2204
4,ｸ,2.186,3,0.7286,0.7286
4,ｹ,1.726,2,0.8628,0.8628
4,ｺ,2.02,3,0.6733,0.6733
4,ｻ,1.762,2,0.8812,0.8812
4,ｼ,1.397,2,0.6983,0.6983
問題区分＝本試験,人数＝22171,平均正答率＝0.7104,,,
科目＝旧情報,総平均点＝72.82,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,23.71,35,0.6774,0.6663
1,ｱ,1.155,2,0.5777,0.5777
1,ｲ,0.925,2,0.4625,0.4625
1,ｳ-ｵ,2.279,3,0.7595,0.7595
1,ｶ,1.6,3,0.5333,0.5333
1,ｷ-ｸ,2.994,4,0.7485,0.5512
1,ｹ,1.519,2,0.7595,0.7595
1,ｺ,1.152,2,0.5758,0.5758
1,ｻ,1.003,2,0.5015,0.5015
1,ｼ,1.887,2,0.9436,0.9436
1,ｽ-ｾ,1.881,2,0.9405,0.9405
1,ｿ,1.935,2,0.9677,0.9677
1,ﾀ-ﾁ,1.612,3,0.5375,0.5375
1,ﾂ,1.451,2,0.7254,0.7254
1,ﾃ,1.271,2,0.6357,0.6357
1,ﾄ,1.046,2,0.523,0.523
2,合計,11.077,15,0.7385,0.7385
2,ｱ,2.671,3,0.8903,0.8903
2,ｲ-ｳ,2.418,3,0.8061,0.8061
2,ｴ-ｵ,1.498,3,0.4993,0.4993
2,ｶ,2.197,3,0.7325,0.7325
2,ｷ,2.293,3,0.7642,0.7642
3,合計,11.485,15,0.7657,0.755
3,ｱ,1.662,2,0.8312,0.8312
3,ｲ-ｳ,1.582,2,0.7912,0.7912
3,ｴ,1.209,2,0.6046,0.6046
3,ｵ,2.746,3,0.9155,0.9155
3,ｶ,1.702,2,0.8509,0.8509
3,ｷ-ｸ,1.681,2,0.8407,0.8407
3,ｹ,0.901,2,0.4507,0.4507
4,合計,19.935,25,0.7974,0.7911
4,ｱ-ｲ,3.226,4,0.8065,0.6373
4,ｳ,0.963,1,0.963,0.963
4,ｴ,0.962,1,0.9616,0.9616
4,ｵ-ｶ,1.89,2,0.9452,0.9027
4,ｷ-ｸ,2.763,3,0.9211,0.9211
4,ｹ-ｺ,2.707,3,0.9023,0.9023
4,ｻ-ｼ,1.79,3,0.5967,0.5967
4,ｽ,1.772,2,0.8861,0.8861
4,ｾ,1.252,2,0.626,0.626
4,ｿ,0.939,2,0.4695,0.4695
4,ﾀ,1.671,2,0.8354,0.8354
5,合計,15.344,25,0.6138,0.6473
5,ｱ,0.862,1,0.8622,0.8622
5,ｲ,0.838,1,0.8382,0.8382
5,ｳ,1.65,2,0.8248,0.8248
5,ｴ,1.617,2,0.8084,0.8084
5,ｵ,1.549,2,0.7744,0.7744
5,ｶ,1.587,2,0.7936,0.7936
5,ｷ,1.825,3,0.6083,0.6083
5,ｸ,0.635,2,0.3173,0.3173
5,ｹ,1.037,2,0.5185,0.5185
5,ｺ,1.045,2,0.5223,0.5223
5,ｻ,1.518,3,0.506,0.506
5,ｼ,1.182,3,0.3941,0.3941
6,合計,18.082,25,0.7233,0.7163
6,ｱ-ｲ,1.758,2,0.8789,0.7987
6,ｳ-ｵ,1.85,2,0.9248,0.9248
6,ｶ,0.69,1,0.6902,0.6902
6,ｷ,0.82,1,0.8201,0.8201
6,ｸ,0.967,1,0.9666,0.9666
6,ｹ,1.091,2,0.5453,0.5453
6,ｺ,1.02,2,0.5098,0.5098
6,ｻ-ｼ,2.352,4,0.588,0.2892
6,ｽ,1.889,2,0.9445,0.9445
6,ｾ,1.682,2,0.8409,0.8409
6,ｿ,1.465,2,0.7323,0.7323
6,ﾀ,1.34,2,0.6701,0.6701
6,ﾁ,1.16,2,0.5801,0.5801
