*** 令和６年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝433173,平均正答率＝0.6031,,,
科目＝国語,総平均点＝116.50,,,,
大問,解答番号,平均点,配点,得点率,正答率
2,ﾀ,1.071,4,0.2679,0.2679
2,ﾁ-ﾄ,0.02,4,0.0051,0.0051
3,合計,7.143,30,0.2381,0.2961
3,ｱ,0.787,1,0.7871,0.7871
3,ｲ,0.964,2,0.4819,0.4819
3,ｳ,0.488,1,0.488,0.488
3,ｴ,1.265,2,0.6324,0.6324
3,ｵ-ｶ,0.366,2,0.1831,0.1831
3,ｷ,0.42,4,0.1049,0.1049
3,ｸ,0.422,3,0.1407,0.1407
3,ｹ,0.96,3,0.3199,0.3199
3,ｺ,0.474,3,0.1579,0.1579
3,ｻ-ｼ,0.733,2,0.3664,0.3664
3,ｽ,0.122,1,0.1223,0.1223
3,ｾ-ｿ,0.116,2,0.0582,0.0582
3,ﾀ-ﾂ,0.027,4,0.0067,0.0067
4,合計,11.244,20,0.5622,0.5848
4,ｱ,0.736,1,0.7364,0.7364
4,ｲ-ｳ,0.738,1,0.7381,0.7381
4,ｴ,1.775,2,0.8876,0.8876
4,ｵ,1.582,2,0.7911,0.7911
4,ｶ,0.991,2,0.4955,0.4955
4,ｷ,0.889,2,0.4446,0.4446
4,ｸ-ｺ,0.891,2,0.4456,0.4456
4,ｻ,0.571,2,0.2853,0.2853
4,ｼ,1.835,3,0.6117,0.6117
4,ｽ,1.235,3,0.4117,0.4117
問題区分＝本試験,人数＝339152,平均正答率＝0.5264,,,
科目＝数学Ⅰ・数学Ａ,総平均点＝51.38,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,16.179,30,0.5393,0.5718
1,ｱ,1.729,2,0.8644,0.8644
1,ｲ-ｳ,1.679,2,0.8393,0.8393
1,ｴ-ｶ,1.428,2,0.7142,0.7142
1,ｷ-ｸ,1.325,2,0.6627,0.6627
1,ｹ-ｻ,0.532,2,0.2658,0.2658
1,ｼ,2.556,4,0.639,0.639
1,ｽ-ｾ,2.357,4,0.5893,0.5893
1,ｿ-ﾁ,2.32,4,0.58,0.58
1,ﾂ,1.929,4,0.4822,0.4822
1,ﾃ-ﾆ,0.324,4,0.081,0.081
2,合計,17.502,30,0.5834,0.6078
2,ｱ,2.079,3,0.693,0.693
2,ｲ,1.517,3,0.5058,0.5058
2,ｳ-ｴ,1.351,2,0.6755,0.6755
2,ｵ,0.391,1,0.3908,0.3908
2,ｶ-ｷ,0.418,2,0.209,0.209
2,ｸ-ｺ,0.321,4,0.0803,0.0803
2,ｻ,1.949,2,0.9745,0.9745
2,ｼ,1.864,2,0.9318,0.9318
2,ｽ,1.51,2,0.7548,0.7548
2,ｾ,1.538,2,0.7692,0.7692
2,ｿ-ﾁ,1.468,2,0.7339,0.7339
2,ﾂ,0.902,2,0.4509,0.4509
2,ﾃ,2.194,3,0.7313,0.7313
3,合計,10.95,20,0.5475,0.5475
3,ｱ-ｲ,1.311,2,0.6557,0.6557
3,ｳ,1.634,2,0.8172,0.8172
3,ｴ-ｵ,1.39,2,0.695,0.695
3,ｶ-ｷ,1.39,2,0.695,0.695
3,ｸ,1.517,2,0.7583,0.7583
3,ｹ-ｺ,1.295,2,0.6477,0.6477
3,ｻ-ｼ,0.651,2,0.3256,0.3256
3,ｽ-ｾ,0.763,2,0.3814,0.3814
3,ｿ-ﾀ,0.836,2,0.4181,0.4181
3,ﾁ-ﾅ,0.162,2,0.0808,0.0808
4,合計,7.569,20,0.3785,0.4142
4,ｱ-ｳ,1.425,2,0.7123,0.7123
4,ｴ-ｶ,1.888,3,0.6295,0.6295
4,ｷ-ｸ,1.072,2,0.5359,0.5359
4,ｹ-ｼ,1.238,3,0.4128,0.4128
4,ｽ-ｿ,0.98,3,0.3266,0.3266
4,ﾀ-ﾂ,0.48,4,0.1199,0.1199
4,ﾃ,0.487,3,0.1622,0.1622
5,合計,7.154,20,0.3577,0.3927
5,ｱ,1.523,2,0.7617,0.7617
5,ｲ-ｳ,1.929,3,0.643,0.643
5,ｴ-ｵ,1.001,2,0.5004,0.5004
5,ｶ,1.003,3,0.3342,0.3342
5,ｷ-ｹ,0.52,3,0.1732,0.1732
5,ｺ-ｼ,0.682,4,0.1706,0.1706
5,ｽ-ｾ,0.496,3,0.1654,0.1654
問題区分＝本試験,人数＝4499,平均正答率＝0.3833,,,
科目＝数学Ⅱ,総平均点＝35.43,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,12.174,30,0.4058,0.4234
1,ｱ,0.835,1,0.8349,0.8349
1,ｲ-ｳ,0.659,1,0.659,0.659
1,ｴ-ｵ,0.946,2,0.4728,0.4728
1,ｶ,1.306,3,0.4354,0.4354
1,ｷ,0.868,3,0.2894,0.2894
1,ｸ,0.651,2,0.3254,0.3254
1,ｹ,0.971,3,0.3236,0.3236
1,ｺ-ｼ,1.433,2,0.7164,0.7164
1,ｽ-ｾ,1.555,2,0.7775,0.7775
1,ｿ-ﾀ,0.716,1,0.7159,0.7159
1,ﾁ,1.04,3,0.3467,0.3467
